word,set,lexicore_level,oxford_level,newest_share,recent_share
capitalize,lexicore_only,C1,,,
capsule,lexicore_only,B1,,,
captive,lexicore_only,B2,,,
caravan,lexicore_only,B2,,,
cardboard,lexicore_only,B2,,,
caring,lexicore_only,B2,,,
carnival,lexicore_only,B2,,,
carpenter,lexicore_only,C1,,,
carpentry,lexicore_only,C1,,,
carrier,lexicore_only,C1,,,
cars,lexicore_only,A1,,,
catastrophe,lexicore_only,B2,,,
cavity,lexicore_only,C1,,,
censor,lexicore_only,C1,,,
center,lexicore_only,A2,,,
cereal,lexicore_only,A2,,,
cessation,lexicore_only,C1,,,
changed,lexicore_only,A1,,,
chaotic,lexicore_only,B2,,,
characterization,lexicore_only,C1,,,
cheaply,lexicore_only,C1,,,
cherry,lexicore_only,B2,,,
chess,lexicore_only,A2,,,
chew,lexicore_only,B2,,,
chili,lexicore_only,A2,,,
chill,lexicore_only,C1,,,
chilly,lexicore_only,C1,,,
chimney,lexicore_only,B2,,,
chin,lexicore_only,A2,,,
chisel,lexicore_only,C1,,,
chloride,lexicore_only,C1,,,
christian,lexicore_only,B1,,,
chromosome,lexicore_only,C1,,,
churn,lexicore_only,C1,,,
circa,lexicore_only,C1,,,
citation,lexicore_only,C1,,,
clan,lexicore_only,C1,,,
classmate,lexicore_only,A1,,,
classy,lexicore_only,C1,,,
clay,lexicore_only,A1,,,
cleaner,lexicore_only,A2,,,
cleanly,lexicore_only,C1,,,
climax,lexicore_only,C1,,,
climbing,lexicore_only,A2,,,
cloak,lexicore_only,C1,,,
closeness,lexicore_only,C1,,,
cloudy,lexicore_only,A1,,,
clutch,lexicore_only,C1,,,
clutter,lexicore_only,C1,,,
coaching,lexicore_only,B2,,,
coarse,lexicore_only,B2,,,
coastline,lexicore_only,B2,,,
cocoa,lexicore_only,B2,,,
coconut,lexicore_only,B2,,,
coefficient,lexicore_only,C1,,,
coke,lexicore_only,A1,,,
cola,lexicore_only,A2,,,
collaborations,lexicore_only,C1,,,
collaborative,lexicore_only,C1,,,
collaborator,lexicore_only,C1,,,
collar,lexicore_only,B1,,,
color,lexicore_only,A1,,,
colorful,lexicore_only,A2,,,
comb,lexicore_only,A2,,,
comfortably,lexicore_only,B2,,,
commend,lexicore_only,C1,,,
commercially,lexicore_only,C1,,,
compact,lexicore_only,B1,,,
competency,lexicore_only,C1,,,
competitiveness,lexicore_only,C1,,,
complementary,lexicore_only,C1,,,
compliant,lexicore_only,C1,,,
complimentary,lexicore_only,C1,,,
composite,lexicore_only,B2,,,
compromised,lexicore_only,C1,,,
compulsion,lexicore_only,C1,,,
computation,lexicore_only,C1,,,
con,lexicore_only,C1,,,
conceivable,lexicore_only,C1,,,
conceptual,lexicore_only,C1,,,
concerning,lexicore_only,B2,,,
concerto,lexicore_only,C1,,,
concur,lexicore_only,C1,,,
conditional,lexicore_only,C1,,,
cone,lexicore_only,B2,,,
confinement,lexicore_only,C1,,,
conform,lexicore_only,C1,,,
conformity,lexicore_only,C1,,,
conjunction,lexicore_only,B2,,,
conjure,lexicore_only,C1,,,
connector,lexicore_only,C1,,,
connoisseur,lexicore_only,C1,,,
conscientious,lexicore_only,C1,,,
conservatory,lexicore_only,C1,,,
considering,lexicore_only,B2,,,
console,lexicore_only,B2,,,
consortium,lexicore_only,C1,,,
consultancy,lexicore_only,C1,,,
contested,lexicore_only,C1,,,
contextual,lexicore_only,C1,,,
contingency,lexicore_only,C1,,,
continuity,lexicore_only,C1,,,
contour,lexicore_only,C1,,,
contractual,lexicore_only,C1,,,
converge,lexicore_only,C1,,,
convergence,lexicore_only,C1,,,
convoluted,lexicore_only,C1,,,
cookie,lexicore_only,A1,,,
cooler,lexicore_only,A2,,,
cooperation,lexicore_only,B2,,,
coral,lexicore_only,B2,,,
cord,lexicore_only,B1,,,
corn,lexicore_only,A1,,,
coronary,lexicore_only,C1,,,
corps,lexicore_only,C1,,,
corpus,lexicore_only,C1,,,
corrective,lexicore_only,C1,,,
couch,lexicore_only,A1,,,
cough,lexicore_only,B2,,,
coupled,lexicore_only,C1,,,
courageous,lexicore_only,B1,,,
cozy,lexicore_only,B2,,,
crab,lexicore_only,B2,,,
crave,lexicore_only,C1,,,
craving,lexicore_only,C1,,,
creamy,lexicore_only,C1,,,
credential,lexicore_only,C1,,,
creditor,lexicore_only,C1,,,
crisp,lexicore_only,A2,,,
criteria,lexicore_only,C1,,,
crossing,lexicore_only,B1,,,
crossroads,lexicore_only,B1,,,
cruelty,lexicore_only,B2,,,
crumb,lexicore_only,C1,,,
crumble,lexicore_only,C1,,,
cube,lexicore_only,B2,,,
cuff,lexicore_only,B2,,,
cumulative,lexicore_only,C1,,,
curry,lexicore_only,A2,,,
curse,lexicore_only,A2,,,
customary,lexicore_only,C1,,,
customize,lexicore_only,C1,,,
customs,lexicore_only,B1,,,
cyclic,lexicore_only,C1,,,
cycling,lexicore_only,A2,,,
cynicism,lexicore_only,C1,,,
daddy,lexicore_only,A1,,,
damaged,lexicore_only,B1,,,
dash,lexicore_only,B2,,,
dated,lexicore_only,B2,,,
daunting,lexicore_only,C1,,,
daydream,lexicore_only,C1,,,
daylight,lexicore_only,A2,,,
days,lexicore_only,A1,,,
daytime,lexicore_only,B2,,,
deceit,lexicore_only,C1,,,
decorative,lexicore_only,B2,,,
dedicate,lexicore_only,B1,,,
deduct,lexicore_only,C1,,,
deer,lexicore_only,B2,,,
defense,lexicore_only,B1,,,
defer,lexicore_only,C1,,,
deflection,lexicore_only,C1,,,
degradation,lexicore_only,C1,,,
degrade,lexicore_only,C1,,,
degrading,lexicore_only,C1,,,
delightful,lexicore_only,B1,,,
delta,lexicore_only,B2,,,
demanding,lexicore_only,B2,,,
demise,lexicore_only,C1,,,
demo,lexicore_only,C1,,,
demographic,lexicore_only,C1,,,
demolition,lexicore_only,C1,,,
demonstrator,lexicore_only,C1,,,
denominator,lexicore_only,C1,,,
denote,lexicore_only,C1,,,
dependency,lexicore_only,C1,,,
depiction,lexicore_only,C1,,,
deprivation,lexicore_only,C1,,,
derivative,lexicore_only,C1,,,
descriptor,lexicore_only,C1,,,
despair,lexicore_only,B1,,,
dessert,lexicore_only,A2,,,
destiny,lexicore_only,B2,,,
deter,lexicore_only,C1,,,
determinant,lexicore_only,C1,,,
detriment,lexicore_only,C1,,,
detrimental,lexicore_only,C1,,,
developed,lexicore_only,A2,,,
developing,lexicore_only,B2,,,
developmental,lexicore_only,C1,,,
deviation,lexicore_only,C1,,,
devoted,lexicore_only,B2,,,
devotee,lexicore_only,C1,,,
devotion,lexicore_only,B1,,,
diagnostic,lexicore_only,C1,,,
dial,lexicore_only,B1,,,
did,lexicore_only,A1,,,
differential,lexicore_only,C1,,,
differentiation,lexicore_only,C1,,,
diffusion,lexicore_only,C1,,,
digest,lexicore_only,B2,,,
dilute,lexicore_only,C1,,,
dim,lexicore_only,B2,,,
dinosaur,lexicore_only,A2,,,
diploma,lexicore_only,B2,,,
disappearance,lexicore_only,B2,,,
disco,lexicore_only,A2,,,
discontinue,lexicore_only,C1,,,
discrete,lexicore_only,C1,,,
disdain,lexicore_only,C1,,,
dismal,lexicore_only,C1,,,
dismantle,lexicore_only,C1,,,
dismay,lexicore_only,C1,,,
dispensary,lexicore_only,C1,,,
dispense,lexicore_only,C1,,,
displacement,lexicore_only,C1,,,
disposition,lexicore_only,B2,,,
disregard,lexicore_only,B2,,,
dissection,lexicore_only,C1,,,
dissent,lexicore_only,C1,,,
dissertation,lexicore_only,C1,,,
distinguished,lexicore_only,B2,,,
distraction,lexicore_only,B2,,,
disturbance,lexicore_only,B1,,,
divergence,lexicore_only,C1,,,
divergent,lexicore_only,C1,,,
diversion,lexicore_only,B2,,,
divided,lexicore_only,B2,,,
diving,lexicore_only,B1,,,
dna,lexicore_only,B2,,,
dock,lexicore_only,B2,,,
does,lexicore_only,A1,,,
doing,lexicore_only,A1,,,
doll,lexicore_only,A1,,,
domestically,lexicore_only,C1,,,
domination,lexicore_only,C1,,,
done,lexicore_only,A2,,,
doom,lexicore_only,B2,,,
doorway,lexicore_only,B2,,,
dove,lexicore_only,B2,,,
downside,lexicore_only,C1,,,
dr,lexicore_only,A1,,,
drawback,lexicore_only,C1,,,
drawer,lexicore_only,A2,,,
dread,lexicore_only,B2,,,
drill,lexicore_only,C1,,,
duck,lexicore_only,A2,,,
duly,lexicore_only,C1,,,
duplicate,lexicore_only,B2,,,
durable,lexicore_only,C1,,,
dye,lexicore_only,B2,,,
dynamically,lexicore_only,C1,,,
eagle,lexicore_only,B2,,,
eccentric,lexicore_only,C1,,,
eclectic,lexicore_only,C1,,,
economically,lexicore_only,C1,,,
ecstasy,lexicore_only,C1,,,
ecstatic,lexicore_only,C1,,,
effortless,lexicore_only,C1,,,
elastic,lexicore_only,C1,,,
elasticity,lexicore_only,C1,,,
elevation,lexicore_only,C1,,,
elevator,lexicore_only,A2,,,
elusive,lexicore_only,C1,,,
emit,lexicore_only,C1,,,
empowerment,lexicore_only,C1,,,
encode,lexicore_only,C1,,,
endowment,lexicore_only,C1,,,
endurance,lexicore_only,B2,,,
energetic,lexicore_only,A2,,,
enhancement,lexicore_only,C1,,,
enlarge,lexicore_only,C1,,,
enlargement,lexicore_only,C1,,,
enormously,lexicore_only,C1,,,
enterprising,lexicore_only,C1,,,
entrepreneurial,lexicore_only,C1,,,
envy,lexicore_only,A2,,,
epidemiology,lexicore_only,C1,,,
equity,lexicore_only,B2,,,
equivalence,lexicore_only,C1,,,
erase,lexicore_only,C1,,,
