[15:59:47] cc2026: 140 files (140 new), 23 workers
[16:06:36] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:06:39] cc2026 file: 31 317,920,271 words IN-20260811042123-20260811072123-00935.warc.wet.gz
[16:06:42] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:06:45] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:06:50] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:06:50] cc2026 file: 32 327,850,083 words IN-20260811102717-20260811132717-00374.warc.wet.gz
[16:07:01] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:07:01] cc2026 file: 33 338,270,933 words IN-20260811132950-20260811162950-00093.warc.wet.gz
[16:07:07] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:07:12] cc2026 file: 34 348,427,207 words IN-20260810221116-20260811011116-00777.warc.wet.gz
[16:07:16] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:07:22] cc2026 file: 35 358,685,685 words IN-20260811163319-20260811193319-00532.warc.wet.gz
[16:07:22] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:07:34] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:07:34] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:07:34] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:07:34] cc2026 file: 36 368,362,429 words IN-20260811193657-20260811223657-00971.warc.wet.gz
[16:07:44] cc2026 file: 37 379,723,849 words IN-20260811132950-20260811162950-00813.warc.wet.gz
[16:07:47] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:07:52] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:07:54] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:07:55] cc2026 file: 38 390,193,442 words IN-20260812014208-20260812044208-00410.warc.wet.gz
[16:07:57] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:08:05] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:08:06] cc2026 file: 39 400,443,428 words IN-20260812044543-20260812074543-00129.warc.wet.gz
[16:08:06] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:08:16] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:08:17] cc2026 file: 40 411,459,093 words IN-20260808151638-20260808181638-00791.warc.wet.gz
[16:08:21] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:08:29] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:08:29] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:08:29] cc2026 file: 41 420,830,213 words IN-20260812074805-20260812104805-00568.warc.wet.gz
[16:08:35] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:08:39] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:08:40] cc2026 file: 42 431,012,135 words IN-20260812105035-20260812135035-00287.warc.wet.gz
[16:08:44] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:08:50] cc2026 file: 43 440,893,911 words IN-20260812135259-20260812165259-00007.warc.wet.gz
[16:08:55] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:09:01] cc2026 file: 44 451,317,209 words IN-20260812135259-20260812165259-00726.warc.wet.gz
[16:09:01] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:09:02] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:09:12] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:09:13] cc2026 file: 45 461,833,883 words IN-20260812165636-20260812195636-00446.warc.wet.gz
[16:09:15] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:09:25] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:09:25] cc2026 file: 46 471,956,697 words IN-20260812200004-20260812230004-00165.warc.wet.gz
[16:09:30] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:09:35] cc2026 file: 47 482,178,527 words IN-20260812200004-20260812230004-00884.warc.wet.gz
[16:09:37] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:09:46] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:09:46] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:09:47] cc2026 file: 48 492,023,789 words IN-20260812230232-20260813020232-00604.warc.wet.gz
[16:09:48] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:09:55] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:09:57] cc2026 file: 49 501,826,742 words IN-20260813020609-20260813050609-00323.warc.wet.gz
[16:10:01] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:10:04] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:10:08] cc2026 file: 50 511,963,283 words IN-20260811223931-20260812013931-00690.warc.wet.gz
[16:10:08] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:10:09] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:10:19] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:10:19] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:10:21] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:10:21] cc2026 file: 51 521,533,031 words IN-20260812044543-20260812074543-00849.warc.wet.gz
[16:10:32] cc2026 file: 52 531,418,281 words IN-20260813081409-20260813111409-00482.warc.wet.gz
[16:10:32] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:10:43] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:10:44] cc2026 file: 53 542,253,015 words IN-20260813111745-20260813141745-00201.warc.wet.gz
[16:10:47] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:10:52] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:10:55] cc2026 file: 54 552,339,493 words IN-20260813111745-20260813141745-00920.warc.wet.gz
[16:10:57] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:11:07] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:11:07] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:11:08] cc2026 file: 55 563,707,281 words IN-20260813142326-20260813172326-00640.warc.wet.gz
[16:11:13] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:11:19] cc2026 file: 56 574,180,991 words IN-20260813202929-20260813232929-00079.warc.wet.gz
[16:11:21] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:11:27] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:11:27] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:11:30] cc2026 file: 57 583,866,631 words IN-20260813202929-20260813232929-00798.warc.wet.gz
[16:11:37] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:11:41] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:11:41] cc2026 file: 58 593,640,136 words IN-20260813233259-20260814023259-00517.warc.wet.gz
[16:11:48] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:11:50] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:11:53] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:11:54] cc2026 file: 59 603,983,194 words IN-20260814023636-20260814053636-00237.warc.wet.gz
[16:12:05] cc2026 file: 60 613,456,667 words IN-20260814023636-20260814053636-00956.warc.wet.gz
[16:12:07] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:12:12] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:12:17] cc2026 file: 61 623,770,081 words IN-20260814053915-20260814083915-00676.warc.wet.gz
[16:12:25] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:12:29] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:12:30] cc2026 file: 62 633,623,658 words IN-20260814084149-20260814114149-00395.warc.wet.gz
[16:12:40] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:12:42] cc2026 file: 63 643,373,845 words IN-20260814114419-20260814144419-00115.warc.wet.gz
[16:12:43] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:12:52] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:12:53] cc2026 file: 64 654,014,735 words IN-20260809063011-20260809093011-00827.warc.wet.gz
[16:12:57] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:13:05] cc2026 file: 65 664,126,444 words IN-20260814144954-20260814174954-00553.warc.wet.gz
[16:13:05] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:13:13] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:13:17] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:13:18] cc2026 file: 66 674,632,554 words IN-20260814175232-20260814205232-00273.warc.wet.gz
[16:13:22] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:13:28] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:13:29] cc2026 file: 67 685,820,804 words IN-20260814175232-20260814205232-00992.warc.wet.gz
[16:13:34] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:13:41] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:13:41] cc2026 file: 68 695,784,614 words IN-20260814205606-20260814235606-00712.warc.wet.gz
[16:13:53] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:13:54] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:13:54] cc2026 file: 69 705,311,647 words IN-20260814235839-20260815025839-00431.warc.wet.gz
[16:13:54] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:14:01] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:14:06] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:14:07] cc2026 file: 70 715,904,848 words IN-20260815030115-20260815060115-00150.warc.wet.gz
[16:14:14] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:14:16] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:14:20] cc2026 file: 71 725,959,340 words IN-20260815030115-20260815060115-00870.warc.wet.gz
[16:14:22] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:14:23] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:14:26] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:14:32] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:14:32] cc2026 file: 72 736,242,369 words IN-20260808060658-20260808090658-00194.warc.wet.gz
[16:14:44] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:14:44] cc2026 file: 73 746,872,416 words IN-20260815090613-20260815120613-00309.warc.wet.gz
[16:14:44] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:14:54] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:14:56] cc2026 file: 74 756,990,717 words IN-20260807145234-20260807175234-00158.warc.wet.gz
[16:15:00] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:15:08] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:15:09] cc2026 file: 75 767,592,188 words IN-20260815120940-20260815150940-00748.warc.wet.gz
[16:15:16] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:15:21] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:15:21] cc2026 file: 76 778,330,973 words IN-20260815151410-20260815181410-00467.warc.wet.gz
[16:15:22] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:15:28] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:15:34] cc2026 file: 77 788,804,764 words IN-20260815181639-20260815211639-00186.warc.wet.gz
[16:15:35] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:15:42] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:15:43] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:15:48] cc2026 file: 78 798,747,543 words IN-20260815181639-20260815211639-00906.warc.wet.gz
[16:15:50] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:15:56] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:16:01] cc2026 file: 79 809,496,640 words IN-20260815212008-20260816002008-00625.warc.wet.gz
[16:16:05] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:16:11] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:16:12] cc2026 file: 80 819,653,057 words IN-20260816002236-20260816032236-00345.warc.wet.gz
[16:16:22] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:16:25] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:16:25] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
[16:16:25] cc2026 file: 81 829,259,805 words IN-20260816032507-20260816062507-00064.warc.wet.gz
[16:16:37] cc2026 file: 82 839,331,499 words IN-20260816032507-20260816062507-00783.warc.wet.gz
[16:16:45] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:16:48] live backup cc2026 -> lexicore-mirror-20260914-afecdd: VERIFIED
[16:16:52] cc2026 file: 83 848,759,324 words IN-20260816062741-20260816092741-00503.warc.wet.gz
[16:16:54] live backup cc2026 -> lexicore-20260914-cb17ed: VERIFIED
